origen,destino,salida_utc,llegada_utc,capacidad,asignado,residual
"LBSF","LDZA","2025-09-16T07:13:00Z","2025-09-16T09:02:00Z",360,0,360
"SUAA","SVMI","2025-09-16T01:45:00Z","2025-09-16T09:02:00Z",320,0,320
"EBCI","LKPR","2025-09-16T07:10:00Z","2025-09-16T09:03:00Z",300,0,300
"EBCI","SVMI","2025-09-15T22:21:00Z","2025-09-16T09:04:00Z",300,0,300
"LKPR","OMDB","2025-09-16T02:29:00Z","2025-09-16T09:06:00Z",360,0,360
"LKPR","VIDP","2025-09-16T00:51:00Z","2025-09-16T09:06:00Z",360,0,360
"EDDI","SGAS","2025-09-15T18:23:00Z","2025-09-16T09:07:00Z",300,0,300
"OPKC","LATI","2025-09-16T01:04:00Z","2025-09-16T09:07:00Z",300,0,300
"SUAA","LKPR","2025-09-15T17:32:00Z","2025-09-16T09:07:00Z",320,0,320
"SUAA","SEQM","2025-09-16T02:35:00Z","2025-09-16T09:08:00Z",300,0,300
"SVMI","EKCH","2025-09-15T21:39:00Z","2025-09-16T09:08:00Z",300,0,300
"SLLP","LOWW","2025-09-15T18:28:00Z","2025-09-16T09:09:00Z",360,0,360
"OMDB","EHAM","2025-09-16T01:37:00Z","2025-09-16T09:10:00Z",300,0,300
"LOWW","SGAS","2025-09-15T18:30:00Z","2025-09-16T09:11:00Z",360,0,360
"SBBR","OYSN","2025-09-15T18:56:00Z","2025-09-16T09:11:00Z",340,0,340
"UBBB","OMDB","2025-09-16T05:01:00Z","2025-09-16T09:11:00Z",300,0,300
"EKCH","EHAM","2025-09-16T07:25:00Z","2025-09-16T09:12:00Z",360,0,360
"OERK","EBCI","2025-09-16T02:23:00Z","2025-09-16T09:12:00Z",360,0,360
"SEQM","SCEL","2025-09-16T03:28:00Z","2025-09-16T09:12:00Z",360,0,360
"SKBO","LATI","2025-09-15T19:40:00Z","2025-09-16T09:12:00Z",300,0,300
"VIDP","OSDI","2025-09-16T03:15:00Z","2025-09-16T09:12:00Z",340,0,340
"EDDI","SUAA","2025-09-15T17:33:00Z","2025-09-16T09:13:00Z",360,0,360
"OERK","EKCH","2025-09-16T02:39:00Z","2025-09-16T09:13:00Z",340,0,340
"OMDB","LOWW","2025-09-16T02:52:00Z","2025-09-16T09:13:00Z",360,0,360
"SABE","EBCI","2025-09-15T17:12:00Z","2025-09-16T09:13:00Z",320,0,320
"EDDI","SLLP","2025-09-15T18:40:00Z","2025-09-16T09:15:00Z",300,0,300
"EKCH","SUAA","2025-09-15T17:24:00Z","2025-09-16T09:15:00Z",320,0,320
"OAKB","VIDP","2025-09-16T06:59:00Z","2025-09-16T09:15:00Z",300,0,300
"OMDB","OERK","2025-09-16T06:06:00Z","2025-09-16T09:15:00Z",300,0,300
"SVMI","EBCI","2025-09-15T22:32:00Z","2025-09-16T09:15:00Z",340,0,340
"OMDB","SVMI","2025-09-15T16:31:00Z","2025-09-16T09:17:00Z",340,0,340
"EBCI","OYSN","2025-09-16T01:39:00Z","2025-09-16T09:18:00Z",300,0,300
"EDDI","SEQM","2025-09-15T19:38:00Z","2025-09-16T09:18:00Z",360,0,360
"SPIM","EKCH","2025-09-15T18:25:00Z","2025-09-16T09:18:00Z",340,0,340
"SUAA","OERK","2025-09-15T16:33:00Z","2025-09-16T09:18:00Z",320,0,320
"LKPR","SABE","2025-09-15T17:36:00Z","2025-09-16T09:19:00Z",360,0,360
"OJAI","OSDI","2025-09-16T07:01:00Z","2025-09-16T09:19:00Z",320,0,320
"OYSN","OMDB","2025-09-16T05:19:00Z","2025-09-16T09:19:00Z",300,0,300
"OOMS","OMDB","2025-09-16T07:52:00Z","2025-09-16T09:20:00Z",320,0,320
"OPKC","LOWW","2025-09-16T01:49:00Z","2025-09-16T09:20:00Z",360,0,360
"SEQM","LDZA","2025-09-15T19:21:00Z","2025-09-16T09:20:00Z",320,0,320
"SKBO","LBSF","2025-09-15T19:24:00Z","2025-09-16T09:20:00Z",340,0,340
"LBSF","EKCH","2025-09-16T05:18:00Z","2025-09-16T09:22:00Z",340,0,340
"LDZA","OJAI","2025-09-16T05:31:00Z","2025-09-16T09:22:00Z",320,0,320
"SLLP","EBCI","2025-09-15T19:37:00Z","2025-09-16T09:22:00Z",320,0,320
"VIDP","OAKB","2025-09-16T06:06:00Z","2025-09-16T09:22:00Z",360,0,360
"OERK","SGAS","2025-09-15T16:52:00Z","2025-09-16T09:23:00Z",360,0,360
"OSDI","VIDP","2025-09-16T03:26:00Z","2025-09-16T09:23:00Z",300,0,300
"SLLP","SBBR","2025-09-16T05:33:00Z","2025-09-16T09:23:00Z",320,0,320
"VIDP","SBBR","2025-09-15T14:39:00Z","2025-09-16T09:23:00Z",360,0,360
"SLLP","SCEL","2025-09-16T05:01:00Z","2025-09-16T09:24:00Z",320,0,320
"LATI","OAKB","2025-09-16T02:52:00Z","2025-09-16T09:25:00Z",360,0,360
"LATI","EBCI","2025-09-16T06:31:00Z","2025-09-16T09:26:00Z",300,0,300
"OJAI","EHAM","2025-09-16T03:07:00Z","2025-09-16T09:26:00Z",340,0,340
"OJAI","SLLP","2025-09-15T16:11:00Z","2025-09-16T09:26:00Z",340,0,340
"SGAS","LATI","2025-09-15T18:58:00Z","2025-09-16T09:27:00Z",340,0,340
"SEQM","SLLP","2025-09-16T05:51:00Z","2025-09-16T09:28:00Z",340,0,340
"OSDI","SKBO","2025-09-15T17:53:00Z","2025-09-16T09:29:00Z",340,0,340
"SVMI","OAKB","2025-09-15T15:53:00Z","2025-09-16T09:29:00Z",340,0,340
"OERK","OAKB","2025-09-16T04:23:00Z","2025-09-16T09:30:00Z",320,0,320
"LKPR","SKBO","2025-09-15T20:32:00Z","2025-09-16T09:31:00Z",340,0,340
"SABE","OJAI","2025-09-15T16:17:00Z","2025-09-16T09:31:00Z",320,0,320
"OPKC","OAKB","2025-09-16T06:07:00Z","2025-09-16T09:32:00Z",360,0,360
"SUAA","SPIM","2025-09-16T03:30:00Z","2025-09-16T09:34:00Z",300,0,300
"EBCI","OERK","2025-09-16T02:46:00Z","2025-09-16T09:35:00Z",340,0,340
"LDZA","EBCI","2025-09-16T06:16:00Z","2025-09-16T09:35:00Z",340,0,340
"OMDB","SLLP","2025-09-15T14:56:00Z","2025-09-16T09:35:00Z",360,0,360
"LDZA","SEQM","2025-09-15T19:37:00Z","2025-09-16T09:36:00Z",340,0,340
"LKPR","OJAI","2025-09-16T04:11:00Z","2025-09-16T09:37:00Z",340,0,340
"EHAM","EDDI","2025-09-16T07:52:00Z","2025-09-16T09:38:00Z",340,0,340
"LATI","VIDP","2025-09-16T01:50:00Z","2025-09-16T09:38:00Z",360,0,360
"LBSF","EHAM","2025-09-16T05:24:00Z","2025-09-16T09:40:00Z",360,0,360
"LDZA","UBBB","2025-09-16T04:08:00Z","2025-09-16T09:40:00Z",340,0,340
"SCEL","OJAI","2025-09-15T15:12:00Z","2025-09-16T09:40:00Z",360,0,360
"LDZA","SBBR","2025-09-15T20:07:00Z","2025-09-16T09:41:00Z",340,0,340
"LKPR","EDDI","2025-09-16T07:24:00Z","2025-09-16T09:41:00Z",320,0,320
"OSDI","OPKC","2025-09-16T04:42:00Z","2025-09-16T09:41:00Z",360,0,360
"VIDP","EDDI","2025-09-16T00:20:00Z","2025-09-16T09:41:00Z",340,0,340
"LDZA","EKCH","2025-09-16T06:17:00Z","2025-09-16T09:43:00Z",360,0,360
"SCEL","LBSF","2025-09-15T16:52:00Z","2025-09-16T09:43:00Z",300,0,300
"EKCH","EDDI","2025-09-16T07:19:00Z","2025-09-16T09:44:00Z",340,0,340
"LATI","LOWW","2025-09-16T06:43:00Z","2025-09-16T09:44:00Z",320,0,320
"OMDB","OSDI","2025-09-16T05:10:00Z","2025-09-16T09:44:00Z",360,0,360
"LOWW","EBCI","2025-09-16T06:38:00Z","2025-09-16T09:46:00Z",300,0,300
"OAKB","LBSF","2025-09-16T02:39:00Z","2025-09-16T09:46:00Z",360,0,360
"SEQM","OERK","2025-09-15T15:53:00Z","2025-09-16T09:46:00Z",320,0,320
"OOMS","OSDI","2025-09-16T04:45:00Z","2025-09-16T09:47:00Z",320,0,320
"EKCH","SEQM","2025-09-15T19:15:00Z","2025-09-16T09:50:00Z",360,0,360
"SABE","SUAA","2025-09-16T07:37:00Z","2025-09-16T09:50:00Z",320,0,320
"LATI","SABE","2025-09-15T17:26:00Z","2025-09-16T09:51:00Z",300,0,300
"LKPR","LDZA","2025-09-16T07:08:00Z","2025-09-16T09:51:00Z",320,0,320
"OMDB","UBBB","2025-09-16T05:41:00Z","2025-09-16T09:51:00Z",300,0,300
"OOMS","EBCI","2025-09-16T01:54:00Z","2025-09-16T09:51:00Z",340,0,340
"LKPR","SUAA","2025-09-15T17:19:00Z","2025-09-16T09:54:00Z",360,0,360
"OJAI","SVMI","2025-09-15T18:44:00Z","2025-09-16T09:54:00Z",340,0,340
"OYSN","SABE","2025-09-15T16:47:00Z","2025-09-16T09:54:00Z",320,0,320
"LOWW","OYSN","2025-09-16T02:17:00Z","2025-09-16T09:55:00Z",300,0,300
"OAKB","OPKC","2025-09-16T06:31:00Z","2025-09-16T09:56:00Z",360,0,360
"OSDI","OAKB","2025-09-16T04:08:00Z","2025-09-16T09:58:00Z",340,0,340
"SVMI","OMDB","2025-09-15T16:12:00Z","2025-09-16T09:58:00Z",360,0,360
"SLLP","EDDI","2025-09-15T18:24:00Z","2025-09-16T09:59:00Z",320,0,320
"SBBR","SABE","2025-09-16T06:01:00Z","2025-09-16T10:00:00Z",360,0,360
"SABE","SLLP","2025-09-16T06:13:00Z","2025-09-16T10:01:00Z",340,0,340
"SCEL","SEQM","2025-09-16T04:17:00Z","2025-09-16T10:01:00Z",360,0,360
"UMMS","SUAA","2025-09-15T17:12:00Z","2025-09-16T10:02:00Z",340,0,340
"OOMS","EHAM","2025-09-16T01:03:00Z","2025-09-16T10:03:00Z",360,0,360
"EBCI","VIDP","2025-09-16T00:55:00Z","2025-09-16T10:04:00Z",340,0,340
"EHAM","SEQM","2025-09-15T21:10:00Z","2025-09-16T10:04:00Z",320,0,320
"LBSF","LOWW","2025-09-16T07:59:00Z","2025-09-16T10:04:00Z",320,0,320
"OAKB","SGAS","2025-09-15T14:31:00Z","2025-09-16T10:04:00Z",340,0,340
"SKBO","OAKB","2025-09-15T15:06:00Z","2025-09-16T10:04:00Z",340,0,340
"EKCH","OPKC","2025-09-16T01:01:00Z","2025-09-16T10:06:00Z",320,0,320
"SEQM","LBSF","2025-09-15T19:23:00Z","2025-09-16T10:06:00Z",300,0,300
"EKCH","SBBR","2025-09-15T20:07:00Z","2025-09-16T10:07:00Z",320,0,320
"LDZA","SABE","2025-09-15T18:38:00Z","2025-09-16T10:07:00Z",300,0,300
"SBBR","OSDI","2025-09-15T20:12:00Z","2025-09-16T10:07:00Z",360,0,360
"VIDP","LKPR","2025-09-16T01:52:00Z","2025-09-16T10:07:00Z",340,0,340
"LATI","SGAS","2025-09-15T19:39:00Z","2025-09-16T10:08:00Z",340,0,340
"OYSN","SEQM","2025-09-15T16:15:00Z","2025-09-16T10:08:00Z",360,0,360
"OJAI","SBBR","2025-09-15T20:25:00Z","2025-09-16T10:09:00Z",320,0,320
"SLLP","UBBB","2025-09-15T15:09:00Z","2025-09-16T10:09:00Z",320,0,320
"UBBB","OYSN","2025-09-16T05:35:00Z","2025-09-16T10:09:00Z",360,0,360
"OOMS","UBBB","2025-09-16T06:37:00Z","2025-09-16T10:10:00Z",360,0,360
"SUAA","OAKB","2025-09-15T14:19:00Z","2025-09-16T10:12:00Z",340,0,340
"SLLP","OMDB","2025-09-15T15:34:00Z","2025-09-16T10:13:00Z",320,0,320
"LBSF","EBCI","2025-09-16T06:05:00Z","2025-09-16T10:14:00Z",360,0,360
"LDZA","UMMS","2025-09-16T07:41:00Z","2025-09-16T10:14:00Z",340,0,340
"SKBO","SPIM","2025-09-16T06:58:00Z","2025-09-16T10:14:00Z",340,0,340
"OOMS","VIDP","2025-09-16T06:46:00Z","2025-09-16T10:15:00Z",300,0,300
"SABE","SCEL","2025-09-16T07:53:00Z","2025-09-16T10:17:00Z",320,0,320
"SVMI","LKPR","2025-09-15T22:40:00Z","2025-09-16T10:17:00Z",320,0,320
"EDDI","SPIM","2025-09-15T19:24:00Z","2025-09-16T10:18:00Z",340,0,340
"LBSF","VIDP","2025-09-16T02:56:00Z","2025-09-16T10:18:00Z",320,0,320
"LDZA","LKPR","2025-09-16T08:35:00Z","2025-09-16T10:18:00Z",300,0,300
"EBCI","UBBB","2025-09-16T04:39:00Z","2025-09-16T10:19:00Z",320,0,320
"LDZA","VIDP","2025-09-16T01:15:00Z","2025-09-16T10:19:00Z",340,0,340
"EKCH","OOMS","2025-09-16T02:50:00Z","2025-09-16T10:21:00Z",360,0,360
"LBSF","LATI","2025-09-16T08:55:00Z","2025-09-16T10:21:00Z",320,0,320
"OJAI","OOMS","2025-09-16T05:17:00Z","2025-09-16T10:21:00Z",360,0,360
"SKBO","SEQM","2025-09-16T08:34:00Z","2025-09-16T10:21:00Z",300,0,300
"SUAA","SBBR","2025-09-16T06:28:00Z","2025-09-16T10:21:00Z",300,0,300
"EHAM","SUAA","2025-09-15T18:17:00Z","2025-09-16T10:22:00Z",340,0,340
"SABE","OYSN","2025-09-15T17:15:00Z","2025-09-16T10:22:00Z",340,0,340
"SKBO","SUAA","2025-09-16T03:33:00Z","2025-09-16T10:22:00Z",360,0,360
"SPIM","UMMS","2025-09-15T17:11:00Z","2025-09-16T10:22:00Z",360,0,360
"UMMS","LBSF","2025-09-16T07:46:00Z","2025-09-16T10:22:00Z",340,0,340
"LBSF","SEQM","2025-09-15T19:40:00Z","2025-09-16T10:23:00Z",340,0,340
"OAKB","OYSN","2025-09-16T04:17:00Z","2025-09-16T10:24:00Z",360,0,360
"SGAS","OERK","2025-09-15T17:53:00Z","2025-09-16T10:24:00Z",360,0,360
"SKBO","LKPR","2025-09-15T21:25:00Z","2025-09-16T10:24:00Z",300,0,300
"SUAA","EDDI","2025-09-15T18:44:00Z","2025-09-16T10:24:00Z",320,0,320
"SVMI","VIDP","2025-09-15T15:34:00Z","2025-09-16T10:26:00Z",300,0,300
"EBCI","EDDI","2025-09-16T08:37:00Z","2025-09-16T10:27:00Z",300,0,300
"LOWW","LBSF","2025-09-16T07:22:00Z","2025-09-16T10:27:00Z",340,0,340
"OJAI","EKCH","2025-09-16T04:24:00Z","2025-09-16T10:27:00Z",340,0,340
"SCEL","EHAM","2025-09-15T18:33:00Z","2025-09-16T10:28:00Z",300,0,300
"SKBO","OERK","2025-09-15T16:21:00Z","2025-09-16T10:28:00Z",320,0,320
"UBBB","EHAM","2025-09-16T04:47:00Z","2025-09-16T10:28:00Z",360,0,360
"UBBB","SPIM","2025-09-15T15:53:00Z","2025-09-16T10:28:00Z",300,0,300
"EKCH","EBCI","2025-09-16T08:31:00Z","2025-09-16T10:29:00Z",320,0,320
"SCEL","EDDI","2025-09-15T17:54:00Z","2025-09-16T10:29:00Z",340,0,340
"LOWW","VIDP","2025-09-16T01:26:00Z","2025-09-16T10:30:00Z",300,0,300
"EHAM","OSDI","2025-09-16T04:22:00Z","2025-09-16T10:32:00Z",320,0,320
"SVMI","UMMS","2025-09-15T21:44:00Z","2025-09-16T10:32:00Z",300,0,300
"SCEL","EKCH","2025-09-15T17:51:00Z","2025-09-16T10:33:00Z",320,0,320
"OYSN","OJAI","2025-09-16T06:03:00Z","2025-09-16T10:34:00Z",360,0,360
"SPIM","EHAM","2025-09-15T19:25:00Z","2025-09-16T10:34:00Z",300,0,300
"LOWW","UBBB","2025-09-16T05:02:00Z","2025-09-16T10:36:00Z",340,0,340
"OJAI","SEQM","2025-09-15T17:17:00Z","2025-09-16T10:36:00Z",300,0,300
"SPIM","UBBB","2025-09-15T15:01:00Z","2025-09-16T10:36:00Z",300,0,300
"LATI","EDDI","2025-09-16T07:59:00Z","2025-09-16T10:37:00Z",360,0,360
"LBSF","OERK","2025-09-16T05:57:00Z","2025-09-16T10:37:00Z",340,0,340
"OSDI","EHAM","2025-09-16T04:28:00Z","2025-09-16T10:38:00Z",300,0,300
"OPKC","OERK","2025-09-16T06:59:00Z","2025-09-16T10:39:00Z",340,0,340
"SVMI","OPKC","2025-09-15T15:28:00Z","2025-09-16T10:39:00Z",360,0,360
"SKBO","OOMS","2025-09-15T15:03:00Z","2025-09-16T10:40:00Z",320,0,320
"UBBB","EKCH","2025-09-16T04:37:00Z","2025-09-16T10:42:00Z",340,0,340
"EBCI","OPKC","2025-09-16T01:04:00Z","2025-09-16T10:43:00Z",320,0,320
"SKBO","EHAM","2025-09-15T21:36:00Z","2025-09-16T10:43:00Z",320,0,320
"SEQM","EDDI","2025-09-15T20:04:00Z","2025-09-16T10:44:00Z",360,0,360
"SVMI","OYSN","2025-09-15T18:52:00Z","2025-09-16T10:44:00Z",320,0,320
"EBCI","EKCH","2025-09-16T08:47:00Z","2025-09-16T10:45:00Z",340,0,340
"OERK","LDZA","2025-09-16T04:17:00Z","2025-09-16T10:46:00Z",320,0,320
"OOMS","UMMS","2025-09-16T03:30:00Z","2025-09-16T10:46:00Z",360,0,360
"SLLP","EKCH","2025-09-15T19:08:00Z","2025-09-16T10:46:00Z",320,0,320
"EBCI","SABE","2025-09-15T18:46:00Z","2025-09-16T10:47:00Z",340,0,340
"OJAI","OAKB","2025-09-16T04:47:00Z","2025-09-16T10:47:00Z",360,0,360
"SCEL","OERK","2025-09-15T15:28:00Z","2025-09-16T10:47:00Z",360,0,360
"SGAS","OOMS","2025-09-15T16:50:00Z","2025-09-16T10:47:00Z",320,0,320
"EBCI","SBBR","2025-09-15T21:47:00Z","2025-09-16T10:49:00Z",360,0,360
"EDDI","OYSN","2025-09-16T02:36:00Z","2025-09-16T10:49:00Z",320,0,320
"OERK","OPKC","2025-09-16T06:09:00Z","2025-09-16T10:49:00Z",360,0,360
"SABE","LBSF","2025-09-15T18:59:00Z","2025-09-16T10:49:00Z",300,0,300
"LBSF","SVMI","2025-09-15T21:17:00Z","2025-09-16T10:50:00Z",320,0,320
"SVMI","SBBR","2025-09-16T04:28:00Z","2025-09-16T10:50:00Z",300,0,300
"UBBB","SVMI","2025-09-15T18:29:00Z","2025-09-16T10:50:00Z",320,0,320
"OSDI","SPIM","2025-09-15T16:40:00Z","2025-09-16T10:51:00Z",340,0,340
"SGAS","EHAM","2025-09-15T19:49:00Z","2025-09-16T10:54:00Z",320,0,320
"SKBO","SABE","2025-09-16T03:11:00Z","2025-09-16T10:54:00Z",340,0,340
"SPIM","EBCI","2025-09-15T19:50:00Z","2025-09-16T10:54:00Z",360,0,360
"OJAI","OPKC","2025-09-16T04:51:00Z","2025-09-16T10:55:00Z",300,0,300
"OPKC","EBCI","2025-09-16T01:16:00Z","2025-09-16T10:55:00Z",340,0,340
"VIDP","UMMS","2025-09-16T02:49:00Z","2025-09-16T10:55:00Z",300,0,300
"EHAM","LKPR","2025-09-16T08:01:00Z","2025-09-16T10:56:00Z",300,0,300
"EDDI","LATI","2025-09-16T07:19:00Z","2025-09-16T10:57:00Z",320,0,320
"EDDI","VIDP","2025-09-16T01:37:00Z","2025-09-16T10:58:00Z",360,0,360
"OSDI","OMDB","2025-09-16T06:24:00Z","2025-09-16T10:58:00Z",340,0,340
"SUAA","SEQM","2025-09-16T03:25:00Z","2025-09-16T10:58:00Z",340,0,340
"OMDB","LATI","2025-09-16T04:15:00Z","2025-09-16T10:59:00Z",340,0,340
"UBBB","LATI","2025-09-16T06:44:00Z","2025-09-16T11:01:00Z",300,0,300
"OMDB","UMMS","2025-09-16T05:13:00Z","2025-09-16T11:03:00Z",340,0,340
"SBBR","OOMS","2025-09-15T18:47:00Z","2025-09-16T11:04:00Z",320,0,320
"SUAA","SLLP","2025-09-16T07:08:00Z","2025-09-16T11:04:00Z",340,0,340
"SKBO","UBBB","2025-09-15T18:21:00Z","2025-09-16T11:05:00Z",320,0,320
"SVMI","SLLP","2025-09-16T06:28:00Z","2025-09-16T11:06:00Z",300,0,300
"OERK","SUAA","2025-09-15T18:22:00Z","2025-09-16T11:07:00Z",340,0,340
"OMDB","SKBO","2025-09-15T16:58:00Z","2025-09-16T11:07:00Z",360,0,360
"SPIM","OOMS","2025-09-15T14:07:00Z","2025-09-16T11:07:00Z",300,0,300
"SVMI","EDDI","2025-09-15T23:35:00Z","2025-09-16T11:07:00Z",340,0,340
"VIDP","EBCI","2025-09-16T01:58:00Z","2025-09-16T11:07:00Z",360,0,360
"OAKB","EHAM","2025-09-16T03:17:00Z","2025-09-16T11:08:00Z",360,0,360
"OJAI","SCEL","2025-09-15T17:40:00Z","2025-09-16T11:08:00Z",320,0,320
"SGAS","OAKB","2025-09-15T15:35:00Z","2025-09-16T11:08:00Z",300,0,300
"SUAA","EHAM","2025-09-15T19:03:00Z","2025-09-16T11:08:00Z",340,0,340
"SBBR","LOWW","2025-09-15T22:23:00Z","2025-09-16T11:09:00Z",360,0,360
"SVMI","OPKC","2025-09-15T16:58:00Z","2025-09-16T11:09:00Z",320,0,320
"EHAM","OYSN","2025-09-16T03:21:00Z","2025-09-16T11:10:00Z",300,0,300
"OYSN","SVMI","2025-09-15T19:18:00Z","2025-09-16T11:10:00Z",300,0,300
"SABE","SPIM","2025-09-16T06:16:00Z","2025-09-16T11:10:00Z",340,0,340
"UMMS","OERK","2025-09-16T05:42:00Z","2025-09-16T11:10:00Z",320,0,320
"SKBO","OPKC","2025-09-15T15:37:00Z","2025-09-16T11:12:00Z",300,0,300
"SVMI","SABE","2025-09-16T03:58:00Z","2025-09-16T11:12:00Z",340,0,340
"OSDI","SGAS","2025-09-15T19:27:00Z","2025-09-16T11:13:00Z",360,0,360
"SEQM","OYSN","2025-09-15T17:20:00Z","2025-09-16T11:13:00Z",300,0,300
"SGAS","EBCI","2025-09-15T21:18:00Z","2025-09-16T11:13:00Z",300,0,300
"SLLP","OSDI","2025-09-15T18:49:00Z","2025-09-16T11:14:00Z",340,0,340
"OOMS","EDDI","2025-09-16T03:59:00Z","2025-09-16T11:15:00Z",360,0,360
"SABE","UMMS","2025-09-15T18:16:00Z","2025-09-16T11:15:00Z",320,0,320
"SCEL","SGAS","2025-09-16T08:19:00Z","2025-09-16T11:15:00Z",320,0,320
"SPIM","LKPR","2025-09-15T20:18:00Z","2025-09-16T11:15:00Z",360,0,360
"OMDB","EBCI","2025-09-16T03:47:00Z","2025-09-16T11:16:00Z",300,0,300
"OOMS","SVMI","2025-09-15T17:02:00Z","2025-09-16T11:16:00Z",340,0,340
"SEQM","SKBO","2025-09-16T09:29:00Z","2025-09-16T11:16:00Z",340,0,340
"OPKC","OAKB","2025-09-16T08:52:00Z","2025-09-16T11:17:00Z",320,0,320
"LOWW","EDDI","2025-09-16T09:41:00Z","2025-09-16T11:18:00Z",320,0,320
"OMDB","SABE","2025-09-15T16:14:00Z","2025-09-16T11:18:00Z",360,0,360
"OOMS","SGAS","2025-09-15T17:21:00Z","2025-09-16T11:18:00Z",300,0,300
"UMMS","SPIM","2025-09-15T18:07:00Z","2025-09-16T11:18:00Z",360,0,360
"VIDP","OOMS","2025-09-16T07:49:00Z","2025-09-16T11:18:00Z",340,0,340
"LDZA","OAKB","2025-09-16T04:31:00Z","2025-09-16T11:19:00Z",340,0,340
"OJAI","VIDP","2025-09-16T04:13:00Z","2025-09-16T11:19:00Z",300,0,300
"SEQM","LKPR","2025-09-15T21:33:00Z","2025-09-16T11:19:00Z",340,0,340
"UMMS","OMDB","2025-09-16T05:29:00Z","2025-09-16T11:19:00Z",340,0,340
"UMMS","OSDI","2025-09-16T07:25:00Z","2025-09-16T11:19:00Z",360,0,360
"LBSF","UBBB","2025-09-16T07:29:00Z","2025-09-16T11:20:00Z",320,0,320
"LOWW","OJAI","2025-09-16T06:13:00Z","2025-09-16T11:20:00Z",340,0,340
"OERK","OJAI","2025-09-16T08:40:00Z","2025-09-16T11:20:00Z",360,0,360
"OOMS","EKCH","2025-09-16T03:49:00Z","2025-09-16T11:20:00Z",300,0,300
"EBCI","SPIM","2025-09-15T20:18:00Z","2025-09-16T11:22:00Z",360,0,360
"OOMS","OJAI","2025-09-16T06:18:00Z","2025-09-16T11:22:00Z",360,0,360
"OOMS","UMMS","2025-09-16T04:07:00Z","2025-09-16T11:23:00Z",340,0,340
"OPKC","OYSN","2025-09-16T06:07:00Z","2025-09-16T11:23:00Z",360,0,360
"OYSN","SKBO","2025-09-15T17:13:00Z","2025-09-16T11:24:00Z",340,0,340
"OYSN","OPKC","2025-09-16T06:10:00Z","2025-09-16T11:26:00Z",320,0,320
"OPKC","SABE","2025-09-15T15:04:00Z","2025-09-16T11:27:00Z",360,0,360
"UMMS","OOMS","2025-09-16T04:11:00Z","2025-09-16T11:27:00Z",300,0,300
"OJAI","SPIM","2025-09-15T17:24:00Z","2025-09-16T11:28:00Z",360,0,360
"OOMS","SLLP","2025-09-15T15:28:00Z","2025-09-16T11:29:00Z",340,0,340
"OYSN","EBCI","2025-09-16T03:50:00Z","2025-09-16T11:29:00Z",360,0,360
"SBBR","EKCH","2025-09-15T21:30:00Z","2025-09-16T11:30:00Z",320,0,320
"SPIM","OMDB","2025-09-15T15:57:00Z","2025-09-16T11:32:00Z",320,0,320
"LOWW","OPKC","2025-09-16T03:02:00Z","2025-09-16T11:33:00Z",340,0,340
"SUAA","UBBB","2025-09-15T16:27:00Z","2025-09-16T11:33:00Z",340,0,340
"UBBB","LDZA","2025-09-16T06:01:00Z","2025-09-16T11:33:00Z",300,0,300
"SKBO","OMDB","2025-09-15T16:25:00Z","2025-09-16T11:34:00Z",340,0,340
"UBBB","LBSF","2025-09-16T07:43:00Z","2025-09-16T11:34:00Z",360,0,360
"EDDI","EHAM","2025-09-16T09:50:00Z","2025-09-16T11:36:00Z",300,0,300
"OAKB","SPIM","2025-09-15T14:44:00Z","2025-09-16T11:36:00Z",320,0,320
"SUAA","OSDI","2025-09-15T18:20:00Z","2025-09-16T11:36:00Z",320,0,320
"LOWW","LATI","2025-09-16T08:36:00Z","2025-09-16T11:37:00Z",340,0,340
"LOWW","SVMI","2025-09-15T23:50:00Z","2025-09-16T11:38:00Z",360,0,360
"EDDI","EKCH","2025-09-16T09:14:00Z","2025-09-16T11:39:00Z",300,0,300
"SUAA","EKCH","2025-09-15T19:48:00Z","2025-09-16T11:39:00Z",340,0,340
"SLLP","SABE","2025-09-16T07:52:00Z","2025-09-16T11:40:00Z",300,0,300
"LDZA","LBSF","2025-09-16T09:52:00Z","2025-09-16T11:41:00Z",320,0,320
"LOWW","OAKB","2025-09-16T04:54:00Z","2025-09-16T11:42:00Z",360,0,360
"OSDI","LBSF","2025-09-16T08:48:00Z","2025-09-16T11:42:00Z",340,0,340
"OYSN","OAKB","2025-09-16T05:35:00Z","2025-09-16T11:42:00Z",360,0,360
"OPKC","LBSF","2025-09-16T04:04:00Z","2025-09-16T11:43:00Z",320,0,320
"OERK","SBBR","2025-09-15T20:56:00Z","2025-09-16T11:44:00Z",360,0,360
"OPKC","SEQM","2025-09-15T14:22:00Z","2025-09-16T11:44:00Z",360,0,360
"OSDI","EBCI","2025-09-16T05:41:00Z","2025-09-16T11:44:00Z",300,0,300
"SPIM","SGAS","2025-09-16T06:32:00Z","2025-09-16T11:44:00Z",320,0,320
"SLLP","UBBB","2025-09-15T16:45:00Z","2025-09-16T11:45:00Z",320,0,320
"EHAM","SPIM","2025-09-15T20:37:00Z","2025-09-16T11:46:00Z",360,0,360
"EKCH","SGAS","2025-09-15T20:54:00Z","2025-09-16T11:46:00Z",300,0,300
"OAKB","OPKC","2025-09-16T08:23:00Z","2025-09-16T11:48:00Z",360,0,360
"SVMI","SEQM","2025-09-16T07:38:00Z","2025-09-16T11:48:00Z",340,0,340
